version,processes,accuracy,total_time,io_time,bcast_time,scatter_time,compute_time,gather_time
v3_final_optimized,1,0.9833,0.2627,0.0349,0.0033,0.0002,0.2238,0.0003
v2_collective_scatter,1,0.9833,6.5447,0.0276,0.0009,0.0001,6.5138,0.0022
v2_collective_scatter,1,0.9833,5.5194,0.0309,0.0008,0.0001,5.4864,0.0010
v2_collective_scatter,1,0.9833,5.3691,0.0253,0.0006,0.0002,5.3419,0.0010
v2_collective_scatter,2,0.9833,3.8809,0.0299,0.0017,0.0003,3.8477,0.0011
v2_collective_scatter,2,0.9833,7.0608,0.0713,0.0031,0.0007,6.9699,0.0155
v2_collective_scatter,2,0.9833,6.2519,0.0219,0.0014,0.0002,6.2259,0.0023
v2_collective_scatter,4,0.9833,3.5541,0.0578,0.0043,0.0019,3.4703,0.0197
v2_collective_scatter,4,0.9833,3.8975,0.0752,0.0049,0.0014,3.7062,0.1092
v2_collective_scatter,4,0.9833,3.5164,0.0695,0.0032,0.0012,3.3513,0.0910
v2_collective_scatter,8,0.9833,2.7310,0.0553,0.0068,0.0076,2.6587,0.0023
v2_collective_scatter,8,0.9833,3.0078,0.0681,0.0076,0.0131,2.6337,0.2850
v2_collective_scatter,8,0.9833,2.7343,0.0586,0.0085,0.0048,2.5217,0.1405
v3_final_optimized,1,0.9833,0.1291,0.0255,0.0007,0.0001,0.1026,0.0001
v3_final_optimized,1,0.9833,0.2838,0.0542,0.0017,0.0018,0.2255,0.0004
v3_final_optimized,1,0.9833,0.1201,0.0295,0.0011,0.0002,0.0891,0.0001
v3_final_optimized,2,0.9833,0.2164,0.0657,0.0035,0.0005,0.1463,0.0002
v3_final_optimized,2,0.9833,0.2108,0.0622,0.0033,0.0009,0.1324,0.0115
v3_final_optimized,2,0.9833,0.2185,0.0663,0.0037,0.0005,0.1475,0.0002
v3_final_optimized,4,0.9833,0.1611,0.0752,0.0040,0.0025,0.0789,0.0002
v3_final_optimized,4,0.9833,0.1631,0.0648,0.0062,0.0021,0.0825,0.0072
v3_final_optimized,4,0.9833,0.1563,0.0593,0.0041,0.0023,0.0840,0.0063
v3_final_optimized,8,0.9833,0.1639,0.0627,0.0102,0.0068,0.0679,0.0160
v3_final_optimized,8,0.9833,0.1675,0.0651,0.0081,0.0094,0.0810,0.0035
v3_final_optimized,8,0.9833,0.1535,0.0544,0.0059,0.0488,0.0435,0.0006
